iter	RMSE
0	82.62643673
1	75.15538178
2	68.22027902
3	61.80571773
4	56.56417545
5	51.5346841
6	46.75359777
7	42.6447814
8	38.90762777
9	35.41268865
10	32.42228082
11	29.53162155
12	26.85726803
13	24.67363456
14	22.56389461
15	20.64388287
16	18.92315282
17	17.27077633
18	15.77229609
19	14.53529216
20	13.36066081
21	12.26919798
22	11.35468207
23	10.50547548
24	9.727281439
25	9.020937986
26	8.444286949
27	7.893620909
28	7.360928315
29	6.890669567
30	6.465605953
31	6.092925899
32	5.722722517
33	5.410022089
34	5.13000876
35	4.888804477
36	4.656952491
37	4.452358197
38	4.281578098
39	4.121692175
40	3.990789533
41	3.860859763
42	3.744205037
43	3.637638858
44	3.547480635
45	3.45378927
46	3.375543557
47	3.300687657
48	3.229920888
49	3.164852073
50	3.116241493
51	3.053609335
52	3.004656486
53	2.954651938
54	2.90193557
55	2.870765147
56	2.838273188
57	2.797076913
58	2.755574958
59	2.709708468
60	2.686647451
61	2.644228946
62	2.618211214
63	2.593386595
64	2.573786022
65	2.548808493
66	2.524515056
67	2.499666657
68	2.474653821
69	2.449819623
70	2.425977363
71	2.408224113
72	2.395894853
73	2.373656402
74	2.354991845
75	2.327053249
76	2.310954023
77	2.291235552
78	2.263703691
79	2.247630994
80	2.226599853
81	2.205972396
82	2.177768826
83	2.162808524
84	2.141407823
85	2.121876312
86	2.107269784
87	2.092841124
88	2.077749251
89	2.065748078
90	2.050314703
91	2.041951816
92	2.019113911
93	1.997131682
94	1.979328389
95	1.968962049
96	1.955800484
97	1.945630262
98	1.934358998
99	1.923324305
100	1.909870192
101	1.896772546
102	1.883611424
103	1.864037174
104	1.850696262
105	1.838548066
106	1.825491424
107	1.807204061
108	1.796132242
109	1.779317008
110	1.760986305
111	1.751019676
112	1.739272663
113	1.729724349
114	1.722428746
115	1.712166773
116	1.700929686
117	1.685124702
118	1.67659643
119	1.66507013
120	1.659261182
121	1.648232291
122	1.634215656
123	1.625173347
124	1.618701168
125	1.609655048
126	1.601158795
127	1.59015144
128	1.580775959
129	1.567844714
130	1.560460665
131	1.554905116
132	1.550617549
133	1.54395259
134	1.532507849
135	1.524693586
136	1.51542594
137	1.504982422
138	1.501379807
139	1.495187773
140	1.489931995
141	1.479330813
142	1.470493762
143	1.467258164
144	1.458412911
145	1.450211263
146	1.445828327
147	1.437503032
148	1.429534782
149	1.424776868
150	1.414815295
151	1.407680462
152	1.401590518
153	1.397100184
154	1.390943023
155	1.386712333
156	1.382326914
157	1.374537746
158	1.366936142
159	1.363764031
160	1.353917262
161	1.349478154
162	1.342966851
163	1.338302816
164	1.332869224
165	1.32862887
166	1.320744175
167	1.317046353
168	1.311028961
169	1.30674563
170	1.301553659
171	1.296652805
172	1.289303905
173	1.282534131
174	1.278396699
175	1.270508692
176	1.26732036
177	1.262505033
178	1.260116071
179	1.256324599
180	1.25238062
181	1.247259964
182	1.240887228
183	1.232838937
184	1.227537669
185	1.223487224
186	1.216142201
187	1.20946556
188	1.205717703
189	1.202845693
190	1.198586355
191	1.195419114
192	1.192179487
193	1.18580703
194	1.181811127
195	1.178231153
196	1.173305848
197	1.171201585
198	1.16448093
199	1.156393112
