iter	Passed	Remaining
0	13	2628
1	23	2295
2	31	2089
3	40	1988
4	48	1904
5	58	1880
6	66	1828
7	77	1863
8	87	1850
9	96	1824
10	105	1819
11	114	1788
12	124	1788
13	132	1760
14	141	1748
15	149	1719
16	158	1709
17	170	1726
18	179	1713
19	206	1854
20	216	1844
21	230	1864
22	240	1847
23	251	1847
24	260	1821
25	269	1801
26	276	1773
27	286	1756
28	294	1735
29	304	1727
30	314	1715
31	324	1703
32	333	1688
33	342	1669
34	350	1654
35	358	1635
36	368	1621
37	376	1605
38	385	1592
39	394	1577
40	407	1581
41	425	1599
42	434	1587
43	443	1572
44	452	1559
45	461	1544
46	470	1532
47	480	1520
48	489	1507
49	506	1520
50	516	1510
51	525	1494
52	534	1481
53	542	1467
54	550	1451
55	558	1436
56	568	1426
57	578	1416
58	589	1409
59	603	1408
60	613	1397
61	621	1384
62	631	1373
63	640	1360
64	649	1349
65	657	1335
66	669	1328
67	684	1328
68	694	1318
69	702	1304
70	714	1298
71	725	1290
72	733	1276
73	743	1265
74	751	1253
75	760	1241
76	769	1228
77	778	1218
78	786	1205
79	796	1194
80	804	1182
81	814	1171
82	823	1160
83	843	1164
84	853	1154
85	863	1144
86	872	1133
87	880	1120
88	889	1109
89	897	1096
90	906	1086
91	914	1073
92	923	1062
93	932	1050
94	943	1043
95	954	1033
96	962	1021
97	978	1018
98	995	1015
99	1004	1004
100	1012	992
101	1021	981
102	1029	969
103	1039	959
104	1049	949
105	1058	938
106	1068	928
107	1076	916
108	1086	906
109	1093	894
110	1103	884
111	1111	873
112	1120	862
113	1128	851
114	1141	843
115	1150	833
116	1161	824
117	1176	817
118	1193	812
119	1208	805
120	1224	799
121	1252	800
122	1272	796
123	1290	790
124	1306	783
125	1323	777
126	1340	770
127	1359	764
128	1368	753
129	1375	740
130	1385	729
131	1392	717
132	1402	706
133	1410	694
134	1419	683
135	1427	671
136	1436	660
137	1448	650
138	1459	640
139	1469	629
140	1479	618
141	1487	607
142	1496	596
143	1504	585
144	1513	573
145	1521	562
146	1531	552
147	1540	541
148	1549	530
149	1557	519
150	1570	509
151	1580	499
152	1588	488
153	1598	477
154	1606	466
155	1616	456
156	1628	446
157	1637	435
158	1646	424
159	1655	413
160	1671	404
161	1682	394
162	1691	384
163	1699	373
164	1717	364
165	1726	353
166	1734	342
167	1744	332
168	1752	321
169	1761	310
170	1771	300
171	1784	290
172	1794	280
173	1803	269
174	1812	258
175	1821	248
176	1830	237
177	1839	227
178	1848	216
179	1859	206
180	1867	196
181	1880	185
182	1889	175
183	1897	165
184	1907	154
185	1915	144
186	1925	133
187	1935	123
188	1942	113
189	1952	102
190	1960	92
191	1969	82
192	1978	71
193	1992	61
194	2002	51
195	2010	41
196	2019	30
197	2027	20
198	2037	10
199	2045	0
